文件名,路径,大小,类型,扩展名
AppIcon76x76@2x~ipad.png,AppIcon76x76@2x~ipad.png,8.5 KB,images,.png
AppIcon60x60@2x.png,AppIcon60x60@2x.png,6.1 KB,images,.png
embedded.mobileprovision,embedded.mobileprovision,29.4 KB,certificates,.mobileprovision
Info.plist,Info.plist,3.7 KB,data,.plist
Info.plist,Frameworks/FBSDKCoreKit_Basics.framework/Info.plist,814 B,data,.plist
Info.plist,Frameworks/FontAwesome_swift.framework/Info.plist,803 B,data,.plist
Info.plist,Frameworks/FBSDKCoreKit.framework/Info.plist,799 B,data,.plist
Info.plist,Frameworks/FBAEMKit.framework/Info.plist,791 B,data,.plist
Info.plist,Frameworks/RyukieSwifty.framework/Info.plist,791 B,data,.plist
Info.plist,Frameworks/CryptoSwift.framework/Info.plist,789 B,data,.plist
Info.plist,Frameworks/SDWebImage.framework/Info.plist,787 B,data,.plist
Info.plist,Frameworks/SnapKit.framework/Info.plist,781 B,data,.plist
Info.plist,Frameworks/Adjust.framework/Info.plist,780 B,data,.plist
Info.plist,Frameworks/FontAwesome_swift.framework/FontAwesome.swift.bundle/Info.plist,778 B,data,.plist
Info.plist,Frameworks/SnapKit.framework/SnapKit_Privacy.bundle/Info.plist,774 B,data,.plist
Info.plist,Frameworks/CryptoSwift.framework/CryptoSwift.bundle/Info.plist,764 B,data,.plist
Info.plist,Frameworks/Adjust.framework/Adjust.bundle/Info.plist,755 B,data,.plist
Info.plist,Base.lproj/LaunchScreen.storyboardc/Info.plist,258 B,data,.plist
Font Awesome 5 Free-Solid-900.otf,Frameworks/FontAwesome_swift.framework/FontAwesome.swift.bundle/Font Awesome 5 Free-Solid-900.otf,577.4 KB,fonts,.otf
Font Awesome 5 Brands-Regular-400.otf,Frameworks/FontAwesome_swift.framework/FontAwesome.swift.bundle/Font Awesome 5 Brands-Regular-400.otf,464.3 KB,fonts,.otf
Font Awesome 5 Free-Regular-400.otf,Frameworks/FontAwesome_swift.framework/FontAwesome.swift.bundle/Font Awesome 5 Free-Regular-400.otf,94.8 KB,fonts,.otf
Assets.car,Assets.car,3.3 MB,uncategorized,.car
FBSDKCoreKit,Frameworks/FBSDKCoreKit.framework/FBSDKCoreKit,3.2 MB,uncategorized,
Amare,Amare,1.5 MB,uncategorized,
CryptoSwift,Frameworks/CryptoSwift.framework/CryptoSwift,1.3 MB,uncategorized,
Adjust,Frameworks/Adjust.framework/Adjust,790.5 KB,uncategorized,
