类别,数量,示例字符串
debug_info,527," <debug>,  <log>, $s33FBAudienceNetworkEventLoggerSwift22FBAdMAIAppStoreLogableP ... (共527个)"
class_methods,318," . :,  @ l.,  `Ҁ`@. ... (共318个)"
errors,563," <error>,  Error: %@, %presentCompletionBlock33_95291C8FD091A4AC4EC4C166FBBC886FLLySo7NSErrorCSgcSgvpfi ... (共563个)"
domains,130,"(function(){try{%@}catch(e){return e.toString();}}());, *.fbcdn.net, .facebook.com ... (共130个)"
ui_texts,168,"AG` bn{, Ad %lu of %lu, Ad already started ... (共168个)"
urls,15,"!http://certs.apple.com/wwdrg3.der01, %http://ocsp.apple.com/ocsp03-wwdrg3030, (http://ocsp.apple.com/ocsp03-applerootca0. ... (共15个)"
bundle_ids,32," FbPlayableAd = {   %@() {      window.webkit.messageHandlers.%@.postMessage({'event':'%@'});    },    %@() {      window.webkit.messageHandlers.%@.postMessage({'event':'%@'});    },    %@() {      window.webkit.messageHandlers.%@.postMessage({'event':'%@'});    },    %@(level_name) {      window.webkit.messageHandlers.%@.postMessage({'event':'%@', 'level_name': level_name});    },    %@(endpoint_url, playable_name) {      window.webkit.messageHandlers.%@.postMessage({'event':'%@', 'endpoint_url': endpoint_url, 'playable_name': playable_name});    },    %@(button_name, x, y) {      window.webkit.messageHandlers.%@.postMessage({'event':'%@', 'button_name': button_name, 'x': x, 'y': y});    }}, #com.apple.developer.team-identifier, .od.facebook.com ... (共32个)"
numbers,66,"#'@3333330@, #'@3333330@ףp=, #@333333""@ ... (共66个)"
file_paths,2,"/System/Library/CoreServices/SystemVersion.plist, an_ad_ondevice_data/ad_an_data_on_device.plist"
version,8,"1.2.12, 10.0, 11.0 ... (共8个)"
uncategorized,20002,"             Asset type: %@ ,              Cache context: %@ ,              Failure reason (if any): %@ ... (共20002个)"
