类别,数量,示例字符串
errors,150,"$s10Foundation18_ErrorCodeProtocolP, $s10Foundation21_BridgedStoredNSErrorP, Down-casted Array element failed to match the target type ... (共150个)"
class_methods,137," .Ҡ` ,  .Үn.,  calories daily for basic functions. For weight maintenance, factor in your activity level. Include protein-rich foods and regular exercise. ... (共137个)"
urls,13,"!http://certs.apple.com/wwdrg3.der01, %http://ocsp.apple.com/ocsp03-wwdrg3030, (http://ocsp.apple.com/ocsp03-applerootca0. ... (共13个)"
bundle_ids,12," FP88G32C4L.com.mimipwanzhnsh.ios01, #com.apple.developer.team-identifier, /usr/lib/libSystem.B.dylib ... (共12个)"
domains,84,",h.Hv, /System/Library/Frameworks/AdSupport.framework/AdSupport, /System/Library/Frameworks/AppTrackingTransparency.framework/AppTrackingTransparency ... (共84个)"
debug_info,24," URLelse let log name, /api_pcase device bottom log corner, ADJLogLevel ... (共24个)"
ui_texts,32,"AW ih@, App ivalue content view background name, Appltouch response try characteristic title ... (共32个)"
numbers,11,"/3374}hh&7.j/ri*.*.7i62""43h, 1200 Tokens - [Preferential], 15000 Tokens - [Preferential] ... (共11个)"
version,3,"<?xml version=""1.0"" encoding=""UTF-8""?>, <plist version=""1.0"">, Token Store requires iOS 15.0 or later"
file_paths,1,/System/Library/CoreServices/SystemVersion.plist
uncategorized,5170," #m_,  #mg,  %#(c ... (共5170个)"
